question_id,round,arm,position,status,valid,duration_ms,law_ids,search_workflows,search_node_elapsed_ms,dependency_ready_ms,ready_wait_ms,run_ms,join_wait_ms,overlap_before_join_ms,read_status
l3-023-fr-consumer,1,ready,2,ok,1,82979.841,4,2,1243.475,10.999,0.003,313.198,0.005,313.198,ok
l3-025-fr-worker-ai,1,ready,2,ok,1,50188.407,3,2,908.233,11.975,0.004,202.34,0.009,202.34,ok
l3-026-uk-transfer,1,ready,2,ok,1,41565.868,4,2,1056.249,13.774,0.004,231.312,0.009,231.312,ok
l3-028-uk-consumer,1,ready,2,ok,1,30042.963,3,2,991.648,11.143,0.004,293.071,0.007,293.071,ok
l3-030-uk-worker-ai,1,ready,2,ok,1,39450.33,4,2,1136.107,12.901,0.003,199.158,0.008,199.158,ok
l3-032-ca-breach,1,ready,2,ok,1,25330.368,6,2,979.475,11.573,0.001,219.708,0.009,219.708,ok
l3-033-ca-consumer,1,ready,2,ok,1,23676.333,2,2,1049.245,6.205,0.005,287.827,0.01,287.827,ok
l3-037-au-breach,1,ready,2,ok,1,41826.754,2,2,981.682,18.341,0.006,234.255,0.009,234.255,ok
l3-039-au-platform,1,ready,2,ok,1,53030.323,2,2,960.434,11.46,0.005,193.871,0.01,193.871,ok
l3-041-sg-transfer,1,ready,2,ok,1,72611.375,2,2,985.765,18.796,0.004,225.177,0.023,225.177,ok
l3-043-sg-consumer,1,ready,2,ok,1,40105.289,2,2,831.991,5.864,0.003,212.384,0.009,212.384,ok
l3-045-sg-worker-ai,1,ready,2,ok,1,2160.625,0,0,,,,,,,
l3-046-vn-transfer,1,ready,2,ok,1,43464.136,3,2,1039.466,13.638,0.005,224.512,0.008,224.512,ok
l3-047-vn-breach,1,ready,2,ok,1,53566.717,4,2,1068.942,9.752,0.004,220.672,0.011,220.672,ok
l3-053-th-consumer,1,ready,2,ok,1,43600.636,2,2,1050.646,8.921,0.004,301.731,0.007,301.731,ok
l3-054-th-platform,1,ready,2,ok,1,2484.65,0,0,,,,,,,
l3-056-id-transfer,1,ready,2,ok,1,36198.38,1,2,1081.114,6.284,0.004,214.572,0.008,214.572,ok
l3-057-id-breach,1,ready,2,ok,1,31003.806,2,2,952.072,13.689,0.004,231.741,0.005,231.741,ok
l3-058-id-consumer,1,ready,2,ok,1,26946.083,2,2,1325.774,12.812,0.004,293.779,0.005,293.779,ok
l3-059-id-platform,1,ready,2,ok,1,4421.13,0,0,,,,,,,
l3-062-my-breach,1,ready,2,ok,1,33394.397,1,2,1044.74,12.365,0.003,250.598,0.011,250.598,ok
l3-063-my-consumer,1,ready,2,ok,1,1890.566,0,0,,,,,,,
l3-065-my-worker-ai,1,ready,2,ok,1,51161.638,2,2,1046.489,11.091,0.001,217.675,0.01,217.675,ok
l3-066-ph-transfer,1,ready,2,ok,1,70915.649,3,2,1079.861,9.961,0.001,219.572,0.01,219.572,ok
l3-067-ph-breach,1,ready,2,ok,1,49285.078,2,2,909.45,13.783,0.004,219.476,0.009,219.476,ok
l3-072-in-breach,1,ready,2,ok,1,3571.914,0,0,,,,,,,
l3-073-in-consumer,1,ready,2,ok,1,37763.687,3,2,1135.352,6.579,0.003,225.231,0.01,225.231,ok
l3-075-in-worker-ai,1,ready,2,ok,1,34118.607,3,2,955.731,13.528,0.004,194.66,0.007,194.66,ok
l3-078-br-consumer,1,ready,2,ok,1,45878.042,2,2,886.059,7.043,0.004,290.068,0.01,290.068,ok
l3-079-br-platform,1,ready,2,ok,1,44988.532,1,2,804.499,6.271,0.004,203.83,0.007,203.83,ok
l3-081-es-transfer,1,ready,2,ok,1,2443.413,0,0,,,,,,,
l3-082-es-breach,1,ready,2,ok,1,107227.129,2,2,1008.376,10.514,0.003,219.567,0.008,219.567,ok
l3-088-it-consumer,1,ready,2,ok,1,3367.333,0,0,,,,,,,
l3-092-nl-breach,1,ready,2,ok,1,2911.373,0,0,,,,,,,
l3-098-nz-consumer,1,ready,2,ok,1,27452.217,3,2,1091.672,11.575,0.005,215.167,0.009,215.167,ok
l3-100-nz-worker-ai,1,ready,2,ok,1,112847.488,4,2,1029.623,7.382,0.004,201.685,0.008,201.685,ok
l4-001-jp-digital-platform,1,ready,2,ok,1,16056.902,3,1,973.156,6.34,0.023,209.107,0.009,209.107,ok
l4-004-jp-fintech,1,ready,2,ok,1,16347.397,5,1,1613.198,11.269,0.004,212.558,0.008,212.558,ok
l4-008-us-online-sales,1,ready,2,ok,1,23076.617,3,1,1048.739,7.056,0.005,227.785,0.008,227.785,ok
l4-009-us-fintech,1,ready,2,ok,1,18457.862,6,1,1400.952,7.542,0.004,209.954,0.009,209.954,ok
l4-012-cn-automated-hiring,1,ready,2,ok,1,19929.497,5,1,1335.127,8.042,0.004,251.424,0.007,251.424,ok
l4-015-cn-manufacturer,1,ready,2,ok,1,17955.984,6,1,1083.763,6.707,0.005,229.866,0.008,229.866,ok
l4-016-de-digital-platform,1,ready,2,ok,1,32781.038,3,1,995.214,8.152,0.004,228.406,0.006,228.406,ok
l4-020-de-manufacturer,1,ready,2,ok,1,13348.753,5,1,1076.979,6.34,0.003,226.913,0.008,226.913,ok
l4-021-fr-digital-platform,1,ready,2,ok,1,21801.399,2,1,1018.803,7.221,0.004,228.241,0.008,228.241,ok
l4-022-fr-automated-hiring,1,ready,2,ok,1,21838.326,4,1,1287.623,7.48,0.004,214.702,0.009,214.702,ok
l4-023-fr-online-sales,1,ready,2,ok,1,18584.552,4,1,1185.46,6.243,0.004,213.895,0.01,213.895,ok
l4-024-fr-fintech,1,ready,2,ok,1,17337.58,2,1,1132.308,6.326,0.004,202.992,0.008,202.992,ok
l4-027-uk-automated-hiring,1,ready,2,ok,1,14967.923,2,1,1188.781,5.828,0.003,214.116,0.008,214.116,ok
l4-029-uk-fintech,1,ready,2,ok,1,241883.23,0,1,1322.512,6.517,0.005,199.293,0.009,199.293,ok
l4-032-ca-automated-hiring,1,ready,2,ok,1,17534.052,4,1,1382.119,9.391,0.004,244.587,0.008,244.587,ok
l4-034-ca-fintech,1,ready,2,ok,1,19558.271,2,1,1373.906,6.187,0.003,197.183,0.011,197.183,ok
l4-036-au-digital-platform,1,ready,2,ok,1,26000.639,3,1,1116.984,6.661,0.004,229.799,0.009,229.799,ok
l4-038-au-online-sales,1,ready,2,ok,1,24107.642,1,1,1129.768,5.982,0.003,213.759,0.009,213.759,ok
l4-039-au-fintech,1,ready,2,ok,1,21569.436,3,1,1296.082,6.038,0.004,203.936,0.01,203.936,ok
l4-040-au-manufacturer,1,ready,2,ok,1,20957.924,4,1,1110.391,6.553,0.005,223.46,0.009,223.46,ok
l4-044-sg-fintech,1,ready,2,ok,1,27116.992,4,1,1630.61,14.919,0.004,200.428,0.009,200.428,ok
l4-045-sg-manufacturer,1,ready,2,ok,1,31206.982,3,1,1125.114,7.687,0.005,223.214,0.007,223.214,ok
l4-051-th-digital-platform,1,ready,2,ok,1,18206.679,1,1,1083.669,7.288,0.004,225.987,0.01,225.987,ok
l4-054-th-fintech,1,ready,2,ok,1,13052.749,3,1,990.414,9.163,0.004,373.508,0.01,373.508,ok
l4-055-th-manufacturer,1,ready,2,ok,1,14529.431,4,1,933.259,7.967,0.005,217.519,0.006,217.519,ok
l4-058-id-online-sales,1,ready,2,ok,1,17704.519,4,1,1382.747,8.177,0.003,219.877,0.009,219.877,ok
l4-059-id-fintech,1,ready,2,ok,1,26911.864,4,1,2837.879,6.585,0.006,199.322,0.008,199.322,ok
l4-063-my-online-sales,1,ready,2,ok,1,25256.275,3,1,1073.001,6.374,0.004,218.972,0.007,218.972,ok
l4-065-my-manufacturer,1,ready,2,ok,1,17986.256,2,1,1021.398,5.924,0.003,219.659,0.008,219.659,ok
l4-067-ph-automated-hiring,1,ready,2,ok,1,14443.277,3,1,1061.017,6.006,0.004,238.978,0.007,238.978,ok
l4-069-ph-fintech,1,ready,2,ok,1,14905.31,4,1,1120.16,6.773,0.004,195.598,0.008,195.598,ok
l4-070-ph-manufacturer,1,ready,2,ok,1,20264.736,8,1,915.835,6.052,0.003,223.231,0.01,223.231,ok
l4-071-in-digital-platform,1,ready,2,ok,1,26017.806,2,1,919.082,6.348,0.005,227.919,0.012,227.919,ok
l4-072-in-automated-hiring,1,ready,2,ok,1,15651.013,6,1,1232.857,7.085,0.004,249.536,0.006,249.536,ok
l4-075-in-manufacturer,1,ready,2,ok,1,13222.167,2,1,1062.099,8.278,0.004,223.751,0.009,223.751,ok
l4-080-br-manufacturer,1,ready,2,ok,1,12638.779,4,1,972.457,6.355,0.004,216.461,0.01,216.461,ok
l4-081-es-digital-platform,1,ready,2,ok,1,22647.381,2,1,963.81,6.661,0.004,223.657,0.012,223.657,ok
l4-082-es-automated-hiring,1,ready,2,ok,1,12116.635,1,1,1047.919,6.15,0.004,223.764,0.006,223.764,ok
l4-083-es-online-sales,1,ready,2,ok,1,18175.153,3,1,1049.514,5.841,0.004,201.68,0.009,201.68,ok
